Time,CH1,CH2
0.007540,0.2943,-0.0362
0.007550,0.2608,-0.0195
0.007560,0.6450,-0.0529
0.007570,0.1105,-0.0362
0.007580,0.5615,-0.0195
0.007590,0.3277,-0.0529
0.007600,0.2441,-0.0195
0.007610,0.6617,-0.0529
0.007620,0.1439,-0.0195
0.007630,0.5281,-0.0195
0.007640,0.3778,-0.0529
0.007650,0.2107,-0.0362
0.007660,0.6784,-0.0529
0.007670,0.1105,-0.0195
0.007680,0.4947,-0.0195
0.007690,0.4279,-0.0529
0.007700,0.1940,-0.0362
0.007710,0.6784,-0.0529
0.007720,0.1773,-0.0195
0.007730,0.4613,-0.0362
0.007740,0.4613,-0.0362
0.007750,0.1773,-0.0362
0.007760,0.6784,-0.0529
0.007770,0.1773,-0.0195
0.007780,0.4279,-0.0195
0.007790,0.5114,-0.0529
0.007800,0.1439,-0.0362
0.007810,0.6951,-0.0362
0.007820,0.2107,-0.0362
0.007830,0.4112,-0.0195
0.007840,0.5281,-0.0529
0.007850,0.1439,-0.0362
0.007860,0.6450,-0.0362
0.007870,0.2274,-0.0362
0.007880,0.3277,-0.0362
0.007890,0.5949,-0.0362
0.007900,0.1439,-0.0362
0.007910,0.6617,-0.0362
0.007920,0.2608,-0.0362
0.007930,0.3110,-0.0195
0.007940,0.6116,-0.0529
0.007950,0.1439,-0.0195
0.007960,0.6116,-0.0362
0.007970,0.3110,-0.0362
0.007980,0.2608,-0.0195
0.007990,0.6450,-0.0529
0.008000,0.1439,-0.0195
0.008010,0.6116,-0.0195
0.008020,0.3277,-0.0529
0.008030,0.2441,-0.0195
0.008040,0.6617,-0.0529
0.008050,0.1439,-0.0195
0.008060,0.5448,-0.0362
0.008070,0.3945,-0.0362
0.008080,0.1940,-0.0195
0.008090,0.6784,-0.0529
0.008100,0.1606,-0.0195
0.008110,0.5281,-0.0195
0.008120,0.4112,-0.0529
0.008130,0.2107,-0.0195
0.008140,0.6784,-0.0529
0.008150,0.1940,-0.0195
0.008160,0.4613,-0.0195
0.008170,0.4613,-0.0529
0.008180,0.1606,-0.0195
0.008190,0.6784,-0.0529
0.008200,0.2107,-0.0195
0.008210,0.4613,-0.0195
0.008220,0.4947,-0.0529
0.008230,0.1773,-0.0362
0.008240,0.6617,-0.0529
0.008250,0.2441,-0.0195
0.008260,0.3945,-0.0195
0.008270,0.5448,-0.0529
0.008280,0.0938,-0.0195
0.008290,0.6784,-0.0362
0.008300,0.2608,-0.0362
0.008310,0.3778,-0.0195
0.008320,0.5615,-0.0529
0.008330,0.1606,-0.0362
0.008340,0.6450,-0.0529
0.008350,0.2775,-0.0195
0.008360,0.2943,-0.0362
0.008370,0.6116,-0.0529
0.008380,0.0771,-0.0195
0.008390,0.6283,-0.0362
0.008400,0.3110,-0.0362
0.008410,0.3110,-0.0362
0.008420,0.6450,-0.0362
0.008430,0.1439,-0.0362
0.008440,0.5949,-0.0195
0.008450,0.3277,-0.0529
0.008460,0.2274,-0.0362
0.008470,0.6784,-0.0362
0.008480,0.0938,-0.0362
0.008490,0.5448,-0.0195
0.008500,0.3945,-0.0529
0.008510,0.2274,-0.0362
0.008520,0.6951,-0.0529
0.008530,0.1606,-0.0195
0.008540,0.4947,-0.0362
0.008550,0.4279,-0.0362
0.008560,0.1773,-0.0362
